Ereignisjahr,KontinentK,HeimatK,Anzahl
2010,Asien,Sri Lanka,27
2010,Asien,Thailand,4
2010,Europa,Bosnien-Herzegowina,12
2010,Europa,Deutschland,412
2010,Europa,Grossbritannien,52
2010,Europa,Italien,80
2010,Europa,Kroatien,9
2010,Europa,Mazedonien,44
2010,Europa,Portugal,88
2010,Europa,"Serbien, Montenegro und Kosovo",133
2010,Europa,Spanien,39
2010,Europa,Türkei,46
2010,Ozeanien,Australien,6
2010,Ozeanien,Fidschi Inseln,0
2010,Ozeanien,Neuseeland,2
2010,Ozeanien,Tonga,0
2010,Schweiz,Schweiz,3145
2011,Afrika,Algerien,1
2011,Afrika,Angola,3
2011,Afrika,Äthiopien,5
2011,Afrika,Dem. Republik Kongo,0
2011,Afrika,Eritrea,14
2011,Afrika,Ghana,6
2011,Afrika,Marokko,5
2011,Afrika,Nigeria,4
2011,Afrika,Somalia,23
2011,Afrika,Tunesien,8
2011,Amerika,Argentinien,1
2011,Amerika,Brasilien,9
2011,Amerika,Chile,2
2011,Amerika,Dominikanische Republik,15
2011,Amerika,Kanada,10
2011,Amerika,Kolumbien,2
2011,Amerika,Kuba,1
2011,Amerika,Mexico,3
2011,Amerika,Peru,3
2011,Amerika,USA,29
2011,Asien,Bangla Desh,14
2011,Asien,China (Volksrepublik China),16
2011,Asien,Indien,32
2011,Asien,Irak,10
2011,Asien,Iran,2
2011,Asien,Libanon,9
2011,Asien,Pakistan,19
2011,Asien,Philippinen,4
2011,Asien,Sri Lanka,29
2011,Asien,Thailand,6
2011,Europa,Bosnien-Herzegowina,7
2011,Europa,Deutschland,414
2011,Europa,Grossbritannien,42
2011,Europa,Italien,87
2011,Europa,Kroatien,12
2011,Europa,Mazedonien,31
2011,Europa,Portugal,89
2011,Europa,"Serbien, Montenegro und Kosovo",97
2011,Europa,Spanien,46
2011,Europa,Türkei,56
2011,Ozeanien,Australien,7
2011,Ozeanien,Fidschi Inseln,0
2011,Ozeanien,Neuseeland,1
2011,Ozeanien,Tonga,0
2011,Schweiz,Schweiz,3309
2012,Afrika,Algerien,6
2012,Afrika,Angola,6
